city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.19,168.86,50.0,79,100,5.01,light rain
1,Torbay,CA,47.67,-52.73,61.57,36,20,10.36,few clouds
2,Codrington,AU,-38.27,141.97,40.3,67,5,8.23,clear sky
3,Kapaa,US,22.08,-159.32,79.0,73,1,8.05,clear sky
4,Dikson,RU,73.51,80.55,30.34,93,100,6.71,overcast clouds
5,Tasiilaq,GL,65.61,-37.64,39.36,81,100,13.42,overcast clouds
6,Sola,VU,-13.88,167.55,77.67,83,90,6.91,overcast clouds
7,Provideniya,RU,64.38,-173.30,45.61,45,5,12.01,clear sky
8,Bethel,US,41.37,-73.41,50.58,90,90,10.36,light rain
9,Kodiak,US,57.79,-152.41,47.71,87,90,4.61,light rain
10,Berlevag,NO,70.86,29.09,42.8,75,75,19.57,broken clouds
11,Lagoa,PT,39.05,-27.98,63.64,77,97,9.08,overcast clouds
12,Norman Wells,CA,65.28,-126.83,42.84,75,75,14.97,broken clouds
13,Hilo,US,19.73,-155.09,86.29,74,40,5.75,scattered clouds
14,Ushuaia,AR,-54.80,-68.30,31.66,100,75,4.61,light snow
15,Bredasdorp,ZA,-34.53,20.04,51.12,93,46,1.74,scattered clouds
16,Busselton,AU,-33.65,115.33,53.01,86,100,10.0,overcast clouds
17,Kaitangata,NZ,-46.28,169.85,49.59,94,100,6.35,light rain
18,Fortuna,US,40.60,-124.16,61.0,78,87,1.99,overcast clouds
19,Kruisfontein,ZA,-34.00,24.73,56.88,75,100,7.83,overcast clouds
20,Jamestown,US,42.10,-79.24,62.19,44,1,17.27,clear sky
21,Vaini,TO,-21.20,-175.20,73.56,100,75,3.44,broken clouds
22,Butaritari,KI,3.07,172.79,82.87,77,100,14.7,overcast clouds
23,Mutoko,ZW,-17.40,32.23,58.33,34,0,2.57,clear sky
24,Argir,FO,62.00,-6.77,56.37,90,0,16.84,clear sky
25,Port Hedland,AU,-20.32,118.57,68.05,83,75,5.75,broken clouds
26,Abashiri,JP,44.02,144.27,39.06,94,100,16.78,overcast clouds
27,Albany,US,42.60,-73.97,50.0,85,100,1.01,moderate rain
28,Darnah,LY,32.77,22.64,69.35,82,0,8.3,clear sky
29,Punta Arenas,CL,-53.15,-70.92,37.4,56,75,9.22,broken clouds
30,Hokitika,NZ,-42.72,170.97,48.61,85,100,5.88,overcast clouds
31,Hermanus,ZA,-34.42,19.23,56.89,80,93,5.61,overcast clouds
32,Lebu,CL,-37.62,-73.65,56.52,81,100,10.49,overcast clouds
33,Ponta Do Sol,PT,32.67,-17.10,69.71,79,40,5.5,scattered clouds
34,Bluff,NZ,-46.60,168.33,49.8,92,100,22.06,overcast clouds
35,Saldanha,ZA,-33.01,17.94,53.65,79,100,7.7,overcast clouds
36,New Norfolk,AU,-42.78,147.06,39.0,90,53,2.95,broken clouds
37,Cabo San Lucas,MX,22.89,-109.91,96.8,54,0,10.92,clear sky
38,Mount Gambier,AU,-37.83,140.77,40.91,81,8,10.36,clear sky
39,Tocopilla,CL,-22.09,-70.20,69.49,69,99,9.8,overcast clouds
40,Rikitea,PF,-23.12,-134.97,75.07,73,100,12.55,light rain
41,Halifax,CA,44.65,-63.57,55.29,80,100,5.99,overcast clouds
42,Thompson,CA,55.74,-97.86,46.56,66,75,6.91,broken clouds
43,Severo-Kurilsk,RU,50.68,156.12,38.8,97,100,16.71,light rain
44,Bethanien,NA,-26.50,17.16,61.3,28,36,5.48,scattered clouds
45,Ust-Kuyga,RU,70.02,135.60,53.11,57,100,4.27,overcast clouds
46,Georgetown,MY,5.41,100.34,83.89,86,40,5.75,scattered clouds
47,Vao,NC,-22.67,167.48,69.57,57,90,15.95,overcast clouds
48,Ostrovnoy,RU,68.05,39.51,43.02,81,100,10.63,overcast clouds
49,Atuona,PF,-9.80,-139.03,79.77,62,1,7.76,clear sky
50,Akdepe,TM,42.06,59.38,89.6,13,4,8.14,clear sky
51,Adrar,MR,20.50,-10.07,92.43,25,100,12.62,overcast clouds
52,Hambantota,LK,6.12,81.12,80.94,89,40,19.17,scattered clouds
53,Rio Grande,BR,-32.03,-52.10,59.11,44,0,11.61,clear sky
54,Clyde River,CA,70.47,-68.59,30.43,80,75,4.61,broken clouds
55,Margate,GB,51.38,1.39,56.91,75,6,3.0,clear sky
56,Luderitz,NA,-26.65,15.16,60.24,68,2,17.78,clear sky
57,Flinders,AU,-34.58,150.86,54.21,83,0,1.01,clear sky
58,Ust-Kulom,RU,61.69,53.69,37.76,65,9,5.88,clear sky
59,Quatre Cocos,MU,-20.21,57.76,73.09,80,40,6.93,scattered clouds
60,Nouadhibou,MR,20.93,-17.03,71.58,73,26,17.27,scattered clouds
61,Nome,US,64.50,-165.41,51.17,34,75,21.85,broken clouds
62,Maceio,BR,-9.67,-35.74,76.44,94,90,9.8,overcast clouds
63,Puerto Ayora,EC,-0.74,-90.35,82.36,79,17,8.99,few clouds
64,Wote,KE,-1.78,37.63,66.97,68,100,0.92,overcast clouds
65,Hwange,ZW,-18.37,26.50,63.25,36,8,2.59,clear sky
66,Saskylakh,RU,71.92,114.08,36.7,86,99,3.78,overcast clouds
67,Port Elizabeth,ZA,-33.92,25.57,59.09,72,0,8.05,clear sky
68,Cape Town,ZA,-33.93,18.42,57.11,71,0,2.86,clear sky
69,Quang Ngai,VN,15.12,108.80,79.48,80,23,4.09,few clouds
