,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,79.0,clear sky,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
6,Sola,VU,77.67,overcast clouds,-13.88,167.55,Ulkel Guest House
13,Hilo,US,86.29,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
22,Butaritari,KI,82.87,overcast clouds,3.07,172.79,Isles Sunset Lodge
40,Rikitea,PF,75.07,light rain,-23.12,-134.97,Pension Maro'i
46,Georgetown,MY,83.89,scattered clouds,5.41,100.34,Cititel Penang
49,Atuona,PF,79.77,clear sky,-9.8,-139.03,Villa Enata
50,Akdepe,TM,89.6,clear sky,42.06,59.38,Мой дом
51,Adrar,MR,92.43,overcast clouds,20.5,-10.07,
52,Hambantota,LK,80.94,scattered clouds,6.12,81.12,Bungalow 63
62,Maceio,BR,76.44,overcast clouds,-9.67,-35.74,Poutur Pousada
63,Puerto Ayora,EC,82.36,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
69,Quang Ngai,VN,79.48,few clouds,15.12,108.8,Central Hotel
71,Mbandaka,CD,79.29,broken clouds,0.05,18.26,Guest House Epervier
73,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
74,Male,MV,84.15,scattered clouds,4.17,73.51,Hotel Octave Maldives
76,Alta Floresta,BR,87.15,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
80,Namatanai,PG,78.69,light rain,-3.67,152.43,Namatanai Hotel
81,San Patricio,US,89.6,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
82,Lorengau,PG,81.1,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
83,Les Cayes,HT,85.5,clear sky,18.2,-73.75,Villa Orphee
90,Mabaruma,GY,79.72,overcast clouds,8.2,-59.78,Monty Brooms Guest House
91,Salalah,OM,84.29,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
93,Ankpa,NG,80.98,broken clouds,7.37,7.63,AA Suites
96,Umm Kaddadah,SD,93.29,clear sky,13.6,26.69,
97,Vila Velha,BR,85.96,clear sky,-20.33,-40.29,Quality Suites Vila Velha
98,Manado,ID,77.0,moderate rain,1.49,124.85,Aryaduta Hotel
103,Bellary,IN,81.27,overcast clouds,15.15,76.93,Hotel Pawan
106,Diamantino,BR,89.71,overcast clouds,-14.41,-56.45,Hotel Delta
110,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
111,Komsomolskiy,UZ,79.52,overcast clouds,40.43,71.72,Ikathouse
114,Bengkulu,ID,75.87,light rain,-3.8,102.27,Grage Hotel Bengkulu
122,Waingapu,ID,76.57,broken clouds,-9.66,120.26,Pondok Wisata Elim
128,Sao Miguel Do Araguaia,BR,92.66,few clouds,-13.28,-50.16,Hotel Executivo Palace
129,Nortelandia,BR,92.03,overcast clouds,-14.45,-56.8,Hotel Karysmã
130,Savannah Bight,HN,91.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
132,Honiara,SB,76.3,overcast clouds,-9.43,159.95,Heritage Park Hotel
137,Arraial Do Cabo,BR,78.76,broken clouds,-22.97,-42.03,Pousada Porto Praia
142,Saint George,US,93.67,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
144,Mogadishu,SO,78.57,broken clouds,2.04,45.34,Hotel Juba
149,Bilma,NE,93.99,clear sky,18.69,12.92,Expeditions Ténére voyages
158,Sao Felix Do Xingu,BR,89.51,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
165,Itacare,BR,84.2,scattered clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
168,Alofi,NU,75.2,moderate rain,-19.06,-169.92,Taloa Heights
177,Gazli,UZ,92.95,clear sky,40.13,63.45,
179,Victoria,HK,86.38,overcast clouds,22.29,114.16,Mini Hotel Central
183,Manggar,ID,80.51,clear sky,-2.88,108.27,Guest Hotel
184,Dharampur,IN,83.77,broken clouds,20.53,73.18,Motel 11
188,Kavaratti,IN,83.17,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
190,Bonfim,BR,79.84,overcast clouds,3.08,-59.95,
194,Qandala,SO,90.16,clear sky,11.47,49.87,
202,Lazaro Cardenas,MX,88.66,broken clouds,17.96,-102.2,Hotel Quinta Antigua
207,Bogalusa,US,82.74,clear sky,30.79,-89.85,Traveler's Rest Motel
209,Sokoni,TZ,78.66,few clouds,-6.43,39.55,Ujamaa Beach Resort
212,Bayji,IQ,88.18,broken clouds,34.93,43.49,قريه جديده
214,Kashi,CN,76.21,overcast clouds,39.45,75.98,帕米尔青年旅舍
218,Dzaoudzi,YT,78.69,clear sky,-12.79,45.27,Le Rocher
224,Ambon,ID,79.97,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
225,Barstow,US,90.3,clear sky,34.9,-117.02,"Motel 6 Barstow, CA"
228,Panaba,MX,92.21,overcast clouds,21.28,-88.27,Hotel Amor
230,Sarangani,PH,79.12,overcast clouds,5.4,125.46,Ballistic Islet
234,Vaitape,PF,79.68,light rain,-16.52,-151.75,Conrad Bora Bora Nui
239,Fort Oglethorpe,US,75.33,few clouds,34.95,-85.26,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
